last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Pujols, Albert,405395,2022,.262,.499,.380,.365,.343,.237,91.2,16.4,34.5,12,
Cabrera, Miguel,408234,2022,.234,.331,.275,.275,.290,.096,89.9,5,35.2,4.7,
Molina, Yadier,425877,2022,.230,.328,.235,.254,.251,.098,84.7,16.9,34.1,3.1,
Cruz Jr., Nelson,443558,2022,.241,.399,.292,.320,.323,.157,90.9,7.2,28,9.3,
Peralta, David,444482,2022,.249,.399,.315,.313,.318,.150,90.3,15.1,35,8.5,
Longoria, Evan,446334,2022,.233,.437,.330,.324,.309,.204,91.1,18.2,33.3,12.4,
Blackmon, Charlie,453568,2022,.256,.376,.317,.301,.308,.120,86.2,12.4,36.7,4.4,
Maldonado, Martin,455117,2022,.181,.325,.264,.253,.245,.144,88.4,14.7,31.6,8.1,
Solano, Donovan,456781,2022,.268,.393,.319,.315,.325,.125,88.3,10.7,36.1,5.9,
McCutchen, Andrew,457705,2022,.252,.406,.309,.325,.329,.155,89.1,13.2,36.2,8.6,
Turner, Justin,457759,2022,.267,.427,.343,.339,.343,.160,89.5,18.4,40.6,8,
Votto, Joey,458015,2022,.218,.390,.310,.322,.331,.172,89.7,14.2,32.9,11.1,
Andrus, Elvis,462101,2022,.245,.360,.310,.293,.300,.114,87.9,11.9,29.1,4.5,
Santana, Carlos,467793,2022,.253,.438,.308,.352,.361,.185,90.7,15.4,31.6,9.3,
Belt, Brandon,474832,2022,.215,.412,.303,.326,.328,.197,88.4,23.4,38.5,12.6,
Brantley Jr., Michael,488726,2022,.310,.467,.345,.374,.390,.158,89.8,10.7,39.5,6,
Gurriel, Yuli,493329,2022,.240,.319,.285,.271,.286,.079,88.2,14.6,30.3,1.9,
Rojas, Miguel,500743,2022,.264,.347,.268,.293,.310,.083,86.1,10.1,33.1,1.9,
Escobar, Eduardo,500871,2022,.243,.427,.311,.314,.300,.183,88.3,20.6,38.7,9.4,
Pham, Tommy,502054,2022,.238,.383,.304,.311,.315,.145,92.2,7.7,33.2,7.9,
Martinez, J.D.,502110,2022,.260,.471,.343,.349,.330,.211,89.1,14.1,42,12.5,
Goldschmidt, Paul,502671,2022,.261,.482,.419,.367,.357,.221,90.8,15.7,31.8,11.6,
